datetime,temperature_c,apparent_temp_c,precipitation_mm,consumption_kw,date,hour,month,weekday,is_weekend,season
2023-01-01 00:00:00,-9.006571693977534,-11.006571693977534,0.03457211177586495,0.6262856265182929,2023-01-01,0,1,6,True,Зима
2023-01-01 01:00:00,-10.10615773378771,-12.10615773378771,0.10664664525334673,0.4383423561336662,2023-01-01,1,1,6,True,Зима
2023-01-01 02:00:00,-8.03474994272081,-10.03474994272081,0.10261613994226389,0.4168728705089575,2023-01-01,2,1,6,True,Зима
2023-01-01 03:00:00,-5.489474193116687,-7.489474193116687,0.023507219391977977,0.3899118324477679,2023-01-01,3,1,6,True,Зима
2023-01-01 04:00:00,-7.968306749446672,-9.968306749446672,0.003086899742840357,0.3582505477670352,2023-01-01,4,1,6,True,Зима
2023-01-01 05:00:00,-6.762369139410965,-8.762369139410964,0.056849461540214356,0.526129423052062,2023-01-01,5,1,6,True,Зима
2023-01-01 06:00:00,-1.841574368985217,-3.841574368985217,0.08428355265616211,0.68731414454034,2023-01-01,6,1,6,True,Зима
2023-01-01 07:00:00,-2.1710353161815785,-4.1710353161815785,0.20923669429038108,0.8570416433917875,2023-01-01,7,1,6,True,Зима
2023-01-01 08:00:00,-3.438948771869905,-5.438948771869905,0.26341047529605793,1.2266650520586102,2023-01-01,8,1,6,True,Зима
2023-01-01 09:00:00,-0.3793460068953334,-2.379346006895333,0.07524837208927654,1.2093293824884137,2023-01-01,9,1,6,True,Зима
2023-01-01 10:00:00,-1.5967083667027309,-3.596708366702731,0.14016252154884576,1.0175799824710279,2023-01-01,10,1,6,True,Зима
2023-01-01 11:00:00,-1.1018303756951733,-3.1018303756951733,0.05785751120172077,1.0656512042198139,2023-01-01,11,1,6,True,Зима
2023-01-01 12:00:00,0.48392454313206823,-1.5160754568679318,0.1370744515359564,1.1599634630752855,2023-01-01,12,1,6,True,Зима
2023-01-01 13:00:00,-3.9969313578702534,-5.996931357870253,0.022916354132165043,1.0119653965335826,2023-01-01,13,1,6,True,Зима
2023-01-01 14:00:00,-4.119708646103873,-6.119708646103873,0.04637269445947592,0.950854700573181,2023-01-01,14,1,6,True,Зима
2023-01-01 15:00:00,-2.589041152549207,-4.589041152549207,0.10057450872714147,0.8622840611312012,2023-01-01,15,1,6,True,Зима
2023-01-01 16:00:00,-4.525662240668845,-6.525662240668845,0.0018324844674211622,1.1571194957910345,2023-01-01,16,1,6,True,Зима
2023-01-01 17:00:00,-3.077410109296849,-5.077410109296849,0.12817949333120524,1.3061765158948235,2023-01-01,17,1,6,True,Зима
